Name;Total kg CO2-eq/kg
Cheese, semihard, Feta, 40 % fidm;2,92
Cheese, Danish Blue, 50 % fidm.;7,72
Lamb, leg, unspecified , raw;27,43
Lamb, meat, average values, raw;27,43
Crayfish, raw;3,55
Shrimps, boiled, shell removed;10,52
Lobster, raw;3,55
Crab, boiled;5,90
Prawn, giant tiger, aquaculture, boiled, frozen;12,43
Shrimp, boiled, in brine;10,52
Pop corn, oil and salt added, traditional;1,25
Peanuts, oilroasted and salted;2,50
Strawberry, raw;0,56
Raspberry, raw;0,84
Currant, black, raw;0,53
Blueberries, raw;2,91
Blackberry, raw;0,91
Rose hip, raw;0,65
Elderberry, raw;0,91
Currant, red, raw;0,53
Gooseberry, raw;0,85
Strawberries, frozen, unsweetened;0,98
Cranberry, raw;0,87
Blueberry, frozen, unsweetened;1,02
Raspberry, frozen;0,86
Cheese, Cream, 60 % fidm.;7,72
Cheese, Brie, 45 % fidm.;2,92
Cheese, cottage, 20 % fidm.;2,92
Bulgur, parboiled, raw;1,15
Sweetcorn, kernels, canned;0,61
Rice, parboiled, raw;1,28
Quinoa, black, raw;2,49
Pepper, black;4,30
Mustard, yellow, ready made;1,76
Curry powder;4,70
BITTER, Gammel Dansk Bitter Dram;2,04
Brandy, cognac;8,22
Vodka;2,04
Aquavit, 40 % vol., average values;2,04
Plum, raw;0,58
Cherry, raw;0,75
Chestnut, raw;1,71
Prune, dried plum;1,87
Apricot, dried;1,87
Apricot, raw;1,05
Peach, raw;0,96
Nectarine, raw;0,96
Avocado, raw;1,07
Sugar, sucrose, white;2,00
Sugar, brown;1,92
Chocolate, milk;5,18
Nougat;4,97
Chewing gum, no sugar added, all types;5,96
Toffees, mixed;2,74
Chocolate, bitter;3,74
Liquorice, salt;2,09
Fruit gums;2,02
Banana, raw;0,98
Lemon, raw;0,94
Watermelon, raw;0,78
Orange, raw;0,81
Melon, honeydew, raw;0,71
Lime, raw;0,87
Pineapple, raw;0,65
Mango, raw;0,93
Grapefruit, raw;0,86
Tangerine, raw;0,97
Kiwi fruit, raw;0,93
Turkey, breast, boiled/smoked, sliced;3,02
Turkey, flesh only, raw;3,18
Turkey, mince, 5-10% fat, raw;3,34
Milk, whole, 3.5 % fat;0,79
Milk, partly skimmed, 1.5 % fat;0,61
Milk, skimmed, 0.5 % fat;0,48
Milk, skimmed, with chocolate (UHT);0,65
Cream, whipping, 38 % fat;2,14
Veal, medium fat, raw;50,36
Peanut butter;2,85
Sunflower oil;3,76
Olive oil;3,83
Oil, rape seed (no eruca acid);3,84
Onions, chopped and deepfried;4,30
Potato crisps, coarse;4,17
Tofu, soy bean curd;1,71
Lentils, sprouted, raw;1,70
Cabbage, red, canned, no sugar added;0,73
Tomatojuice, canned;1,26
Gherkin, pickled;1,58
Potatoes, mashed, instant powder with dry milk;5,00
Pepper, hot chili, canned;1,54
Cucumber, large, pickled;1,58
Tomato, peeled, canned;1,26
Beet, red, canned;0,83
Potato, canned;0,89
Potato crisps;4,17
Bamboo shoots, canned, nonsalted;1,21
Mushroom, canned;0,70
French fries, deepfried, fast food;2,84
Tomato paste, concentrated;2,48
Tomato ketchup, bottled;2,01
Beans, baked i tomato sauce, canned;1,53
Potato flour;1,31
Peas, green, canned;1,36
Soya sauce;1,49
Sauce, barbeque;2,18
Wine, white, average values;1,87
Wine, rosé;1,87
Wine, red;1,87
Wine, white, sparkling, champagne;1,87
Yeast, baker`s, compressed;1,45
Cocktail sausages;1,81
Pesto;3,83
Lasagne, beef, ready meals;8,85
Lasagne, vegetarian, ready meals;1,74
Daal, ready meals;1,85
Sushi, ready meals;2,51
Minced chicken;3,76
Pizza dough;0,72
Fresh pasta, fettucine spinach;1,08
Tuna salad;4,50
Egg salad;1,51
Meatballs;3,00
Hummus, done;1,50
Lasagne, vegan, ready meals;1,59
Pancakes, ready meals;2,21
Potato gratin / cream potatoes;1,10
Kebab;36,49
Icetea, peach;0,82
Energy drink;0,53
Alcoholic soda, 4%;0,72
Salsa, hot;1,59
Tortilla bread, wheat;0,74
Pizzasauce;2,33
Pastasauce;2,33
Coconut milk;3,50
Garlic baguette, frozen;1,18
Muesli bar, chocolate;2,65
Cup noodles chicken;1,87
Sliced mushrooms;0,41
Microwave popcorn;1,62
Thai meal panang curry chicken;2,33
French fries, frost;0,65
Pancake puffs;1,32
Chickpeas, canned;0,88
Green beans, frost;1,42
Tortilla chips, cheese;1,90
